PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN14,FGM14,FGA14,FG_PCT14,FG3M14,FG3A14,FG3_PCT14,FTM14,FTA14,FT_PCT14,OREB14,DREB14,REB14,AST14,TOV14,STL14,BLK14,BLKA14,PF14,PFD14,PTS14,PLUS_MINUS14,DD2,TD3,CFID,CFPARAMS
708,Kevin Garnett,1610612750,MIN,39,47,20,27,0.426,20.3,3,6.5,0.467,0,0.1,0.143,0.8,1,0.8,1,5.6,6.6,1.6,1,1,0.4,0.1,2.3,1.3,6.9,-0.4,3,0,5,"7,081,610,612,750"
977,Kobe Bryant,1610612747,LAL,36,35,10,25,0.286,34.5,7.6,20.4,0.373,1.5,5.3,0.293,5.6,6.9,0.813,0.7,4.9,5.7,5.6,3.7,1.3,0.2,0.8,1.9,5.1,22.3,-8.4,4,2,5,"9,771,610,612,747"
1495,Tim Duncan,1610612759,SAS,39,77,53,24,0.688,28.9,5.4,10.6,0.512,0,0.1,0.286,3,4,0.74,2.2,6.9,9.1,3,1.7,0.8,2,0.9,2.1,3.1,13.9,4,33,1,5,"14,951,610,612,759"
1713,Vince Carter,1610612763,MEM,38,66,45,21,0.682,16.5,2,6.2,0.333,1,3.5,0.297,0.7,0.9,0.789,0.4,1.6,2,1.2,0.7,0.7,0.2,0.2,1.5,1.1,5.8,0.5,0,0,5,"17,131,610,612,763"
1717,Dirk Nowitzki,1610612742,DAL,37,77,47,30,0.61,29.6,6.3,13.8,0.459,1.4,3.6,0.38,3.3,3.8,0.882,0.6,5.4,5.9,1.9,1.1,0.5,0.4,0.3,2.1,3.9,17.3,3.1,6,0,5,"17,171,610,612,742"
1718,Paul Pierce,1610612764,WAS,37,73,40,33,0.548,26.2,4,9,0.447,1.6,4.2,0.389,2.2,2.9,0.781,0.6,3.4,4,2,1.3,0.6,0.3,0.4,2.2,2.3,11.9,2.2,2,0,5,"17,181,610,612,764"
1737,Nazr Mohammed,1610612741,CHI,37,23,13,10,0.565,5.6,0.6,1.3,0.433,0,0,0,0,0.1,0.333,0.5,1.2,1.7,0.1,0.3,0.2,0.2,0.1,0.7,0.1,1.2,0.4,0,0,5,"17,371,610,612,741"
1882,Elton Brand,1610612737,ATL,36,36,25,11,0.694,13.5,1.2,2.6,0.442,0,0,0,0.3,0.6,0.522,0.8,2,2.8,0.6,0.5,0.5,0.7,0.1,1.5,1,2.7,0.1,0,0,5,"18,821,610,612,737"
1889,Andre Miller,1610612758,SAC,39,81,44,37,0.543,15.5,1.8,3.6,0.5,0.1,0.4,0.206,0.7,1,0.753,0.5,1.4,1.9,3.5,1.3,0.4,0.1,0.4,1.3,1.1,4.4,-1.6,1,0,5,"18,891,610,612,758"
1890,Shawn Marion,1610612739,CLE,37,57,36,21,0.632,19.3,2.1,4.7,0.446,0.2,0.8,0.261,0.5,0.6,0.765,1.1,2.4,3.5,0.9,0.6,0.5,0.5,0.4,1,0.5,4.8,0.9,0,0,5,"18,901,610,612,739"
1891,Jason Terry,1610612745,HOU,37,77,53,24,0.688,21.3,2.4,5.8,0.422,1.6,4.2,0.39,0.5,0.6,0.813,0.2,1.4,1.6,1.9,1,0.9,0.2,0.1,1.5,0.4,7,1.8,0,0,5,"18,911,610,612,745"
1905,Andrei Kirilenko,1610612751,BKN,34,7,3,4,0.429,5.2,0,0.7,0,0,0,0,0.4,0.6,0.75,0.3,0.9,1.1,0.1,0.1,0.1,0,0.3,0.1,0.3,0.4,-4,0,0,5,"19,051,610,612,751"
1938,Manu Ginobili,1610612759,SAS,37,70,47,23,0.671,22.7,3.6,8.4,0.426,1.3,3.7,0.345,2.1,2.9,0.721,0.4,2.6,3,4.2,2.2,1,0.3,0.5,2,3.2,10.5,4.5,3,0,5,"19,381,610,612,759"
2030,Kenyon Martin,1610612749,MIL,37,11,7,4,0.636,9.5,0.8,2,0.409,0,0,0,0.2,0.2,1,0.5,1.2,1.7,0.5,0.3,0.5,0.5,0.3,1.2,0.1,1.8,-0.8,0,0,5,"20,301,610,612,749"
2034,Mike Miller,1610612739,CLE,35,52,31,21,0.596,13.5,0.7,2.2,0.325,0.6,1.9,0.327,0.1,0.1,0.75,0.1,1.7,1.8,0.9,0.4,0.3,0.1,0.1,1.4,0.1,2.1,-1.4,0,0,5,"20,341,610,612,739"
2037,Jamal Crawford,1610612746,LAC,35,64,44,20,0.688,26.6,5.2,13.1,0.396,1.9,5.7,0.327,3.5,3.9,0.901,0.3,1.7,1.9,2.5,1.4,0.9,0.2,0.3,1.7,2.6,15.8,1.3,0,0,5,"20,371,610,612,746"
2045,Hedo Turkoglu,1610612746,LAC,36,62,42,20,0.677,11.4,1.3,3,0.441,1,2.2,0.432,0.1,0.2,0.545,0.1,1.5,1.6,0.6,0.5,0.3,0.1,0,1.1,0.3,3.7,0.2,0,0,5,"20,451,610,612,746"
2199,Tyson Chandler,1610612742,DAL,32,75,47,28,0.627,30.5,3.9,5.9,0.666,0,0,0,2.5,3.4,0.72,3.9,7.6,11.5,1.1,1.4,0.6,1.2,0.4,2.3,3.3,10.3,3.1,31,0,5,"21,991,610,612,742"
2200,Pau Gasol,1610612741,CHI,34,78,48,30,0.615,34.4,7.3,14.8,0.494,0.2,0.3,0.462,3.8,4.7,0.803,2.8,9,11.8,2.7,2,0.3,1.9,0.8,1.9,4.2,18.5,2.4,54,0,5,"22,001,610,612,741"
2202,Jason Richardson,1610612755,PHI,34,19,4,15,0.211,21.9,3.3,9.4,0.348,1.6,5.1,0.323,0.9,1.2,0.773,0.7,2.8,3.5,2,0.8,0.7,0.2,0.1,1.5,1.2,9.1,-3.7,0,0,5,"22,021,610,612,755"
2207,Joe Johnson,1610612751,BKN,34,80,38,42,0.475,34.9,5.6,12.8,0.435,1.5,4.2,0.359,1.8,2.2,0.801,0.7,4.1,4.8,3.7,1.7,0.7,0.2,0.3,1.5,2.2,14.4,-1.5,3,0,5,"22,071,610,612,751"
