FanDuel,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
48.85725784,PG,Stephen,Curry,47.9,30,11000,DEN@GS,GS,DEN,GTD,Leg
45.69924164,PG,Russell,Westbrook,49.6,33,11000,OKC@CHA,OKC,CHA,,
44.2068367,SG,James,Harden,46.2,34,10500,HOU@SA,HOU,SA,,
43.4435463,PF,Anthony,Davis,44.3,29,10100,NO@DAL,NO,DAL,,
48.052845,SF,LeBron,James,44.2,29,9800,ORL@CLE,CLE,ORL,,
43.72176743,SF,Kevin,Durant,43.6,27,9800,OKC@CHA,OKC,CHA,,
38.54816818,PF,Draymond,Green,38.8,32,9400,DEN@GS,GS,DEN,,
39.9544754,C,Andre,Drummond,43.3,33,9400,DET@IND,DET,IND,,
41.5479126,PF,Blake,Griffin,41.3,30,9000,PHI@LAC,LAC,PHI,O,Quadriceps
38.32392883,PG,Chris,Paul,36.7,29,8900,PHI@LAC,LAC,PHI,,
38.27739334,SF,Kawhi,Leonard,38.5,32,8600,HOU@SA,SA,HOU,,
37.33351898,PG,Kemba,Walker,34.1,31,8600,OKC@CHA,CHA,OKC,,
39.18224716,SF,Paul,George,39.4,32,8600,DET@IND,IND,DET,,
31.66194153,C,Nikola,Vucevic,33.8,29,8200,ORL@CLE,ORL,CLE,,
33.60106277,C,Marc,Gasol,33,34,8100,MEM@UTA,MEM,UTA,,
31.04473686,C,Dwight,Howard,32.8,28,7900,HOU@SA,HOU,SA,,
30.55881119,C,Karl-Anthony,Towns,32.3,33,7900,MIL@MIN,MIN,MIL,,
31.55829811,C,DeAndre,Jordan,33.3,34,7800,PHI@LAC,LAC,PHI,,
35.44485855,PF,Derrick,Favors,33.3,26,7700,MEM@UTA,UTA,MEM,O,Back
32.30906296,SF,Gordon,Hayward,30.2,31,7600,MEM@UTA,UTA,MEM,,
30.6830864,PG,Ricky,Rubio,31.3,27,7600,MIL@MIN,MIN,MIL,,
22.12373734,PG,Kyrie,Irving,19.8,4,7600,ORL@CLE,CLE,ORL,,
33.76808167,PG,Reggie,Jackson,33.7,33,7500,DET@IND,DET,IND,,
30.03032684,PG,Tyreke,Evans,33.5,15,7500,NO@DAL,NO,DAL,,
34.09046936,SF,Nicolas,Batum,32.1,30,7400,OKC@CHA,CHA,OKC,,
28.77083969,SG,Klay,Thompson,28.3,30,7400,DEN@GS,GS,DEN,,
35.57714844,PF,Kevin,Love,33.8,30,7300,ORL@CLE,CLE,ORL,,
29.50832748,SG,Will,Barton,29.2,33,7200,DEN@GS,DEN,GS,,
29.71714592,C,Greg,Monroe,32.7,32,7200,MIL@MIN,MIL,MIN,,
28.43959045,C,Rudy,Gobert,29.5,14,7100,MEM@UTA,UTA,MEM,O,Knee
31.07950211,PF,LaMarcus,Aldridge,29.4,32,7000,HOU@SA,SA,HOU,,
28.20550156,SG,Giannis,Antetokounmpo,29.4,32,7000,MIL@MIN,MIL,MIN,,
27.27505875,SF,Khris,Middleton,27,34,6800,MIL@MIN,MIL,MIN,,
29.7560997,PF,Dirk,Nowitzki,30,31,6800,NO@DAL,DAL,NO,,
25.90764809,PG,Michael,Carter-Williams,26.7,29,6700,MIL@MIN,MIL,MIN,,
26.918293,SF,Andrew,Wiggins,28,32,6700,MIL@MIN,MIN,MIL,,
28.63868523,PG,Mike,Conley,29.2,34,6700,MEM@UTA,MEM,UTA,,
26.958601,SF,Danilo,Gallinari,29.5,27,6700,DEN@GS,DEN,GS,GTD,Ankle
25.61000633,C,Zaza,Pachulia,26.5,32,6500,NO@DAL,DAL,NO,,
22.77120781,PG,Deron,Williams,27.8,26,6500,NO@DAL,DAL,NO,,
23.33839989,PF,Kenneth,Faried,26.4,29,6400,DEN@GS,DEN,GS,,
24.15548706,SF,Tobias,Harris,27.9,32,6400,ORL@CLE,ORL,CLE,,
28.45947838,PF,Nerlens,Noel,24.8,28,6300,PHI@LAC,PHI,LAC,,
30.62114525,PF,Serge,Ibaka,27,33,6200,OKC@CHA,OKC,CHA,,
23.44529152,C,Jahlil,Okafor,29.3,30,6200,PHI@LAC,PHI,LAC,,
26.64386177,C,Tim,Duncan,25.7,28,6200,HOU@SA,SA,HOU,GTD,Knee
26.84218407,PF,Zach,Randolph,25.3,29,6100,MEM@UTA,MEM,UTA,,
22.01335335,PG,Elfrid,Payton,25.9,32,6000,ORL@CLE,ORL,CLE,,
22.46010399,PG,Tony,Parker,23.7,33,5900,HOU@SA,SA,HOU,,
24.93097305,SG,Victor,Oladipo,25.9,30,5800,ORL@CLE,ORL,CLE,,
25.97087669,SG,Monta,Ellis,25.3,32,5800,DET@IND,IND,DET,,
20.71693802,C,Al,Jefferson,25.1,19,5800,OKC@CHA,CHA,OKC,O,Knee
19.72471809,PG,Ishmael,Smith,23.4,30,5800,PHI@LAC,PHI,LAC,,
24.54517555,SG,Kentavious,Caldwell-Pope,23.6,33,5700,DET@IND,DET,IND,,
25.37781906,PF,Ryan,Anderson,26.2,30,5600,NO@DAL,NO,DAL,,
19.57335281,SG,Evan,Fournier,23.7,32,5600,ORL@CLE,ORL,CLE,,
19.20559692,PG,Brandon,Jennings,14.5,2,5600,DET@IND,DET,IND,,
25.51704216,PG,George,Hill,24,29,5600,DET@IND,IND,DET,,
26.02471352,SF,Marcus,Morris,24.8,33,5400,DET@IND,DET,IND,,
26.25197029,PG,Jrue,Holiday,22.2,26,5400,NO@DAL,NO,DAL,,
18.13962746,C,Ian,Mahinmi,21.8,30,5300,DET@IND,IND,DET,GTD,Knee
19.96277428,PF,Ersan,Ilyasova,19.9,33,5300,DET@IND,DET,IND,,
24.53729057,PG,Jeremy,Lin,21.6,30,5300,OKC@CHA,CHA,OKC,O,Ankle
19.86236191,SF,Chandler,Parsons,16.7,25,5200,NO@DAL,DAL,NO,,
18.40937614,SF,Trevor,Ariza,22.7,33,5200,HOU@SA,HOU,SA,,
18.0590744,SF,Harrison,Barnes,23.5,17,5200,DEN@GS,GS,DEN,GTD,Ankle
19.32675171,SG,Wesley,Matthews,20.5,30,5100,NO@DAL,DAL,NO,,
20.79598427,PG,Tony,Wroten,12.4,8,5100,PHI@LAC,PHI,LAC,,
18.4135952,C,Enes,Kanter,22.2,33,5100,OKC@CHA,OKC,CHA,,
16.36977386,SF,Matt,Barnes,19.6,33,5100,MEM@UTA,MEM,UTA,O,Suspension
20.08790016,C,Gorgui,Dieng,20.7,33,5000,MIL@MIN,MIN,MIL,,
20.42174721,PG,Trey,Burke,19,31,5000,MEM@UTA,UTA,MEM,,
18.22352028,SG,O.J.,Mayo,20,23,5000,MIL@MIN,MIL,MIN,,
21.46008492,SF,Jeff,Green,19.7,34,5000,MEM@UTA,MEM,UTA,,
18.80543518,SG,J.J.,Redick,20.1,30,5000,PHI@LAC,LAC,PHI,,
21.02760124,PG,Jameer,Nelson,18.6,30,5000,DEN@GS,DEN,GS,,
21.23054695,SF,Robert,Covington,23.4,25,5000,PHI@LAC,PHI,LAC,,
18.32227707,PF,Clint,Capela,20.9,33,5000,HOU@SA,HOU,SA,,
6.446811199,PG,Emmanuel,Mudiay,22.8,23,4900,DEN@GS,DEN,GS,O,Ankle
19.14119148,SG,Rodney,Hood,20.5,30,4900,MEM@UTA,UTA,MEM,,
18.17118073,PF,Terrence,Jones,18.9,28,4800,HOU@SA,HOU,SA,,
21.54276466,C,Jordan,Hill,21.9,28,4800,DET@IND,IND,DET,O,Mouth
21.58974075,PF,Marvin,Williams,22.1,31,4800,OKC@CHA,CHA,OKC,,
17.36223602,PG,Raymond,Felton,19.6,32,4800,NO@DAL,DAL,NO,,
22.92046547,SG,Eric,Gordon,22.8,32,4800,NO@DAL,NO,DAL,,
21.91796303,SG,Alec,Burks,21.4,28,4800,MEM@UTA,UTA,MEM,O,Ankle
24.73000336,C,Nikola,Pekovic,0,25,4800,MIL@MIN,MIN,MIL,O,Achilles
21.52420425,SF,Andre,Iguodala,21,32,4800,DEN@GS,GS,DEN,,
21.60454941,PF,Cody,Zeller,18.7,29,4700,OKC@CHA,CHA,OKC,,
17.79172325,SG,Rodney,Stuckey,19.1,27,4700,DET@IND,IND,DET,,
19.73610497,SG,Zach,LaVine,21.8,33,4700,MIL@MIN,MIN,MIL,,
14.39868641,C,Nikola,Jokic,18.8,31,4700,DEN@GS,DEN,GS,GTD,Knee
21.81018829,SF,C.J.,Miles,21.6,27,4700,DET@IND,IND,DET,,
16.91853142,C,Festus,Ezeli,20.1,30,4600,DEN@GS,GS,DEN,GTD,Toe
18.46804237,PG,Jerryd,Bayless,21.7,22,4600,MIL@MIN,MIL,MIN,,
17.73093605,SG,J.R.,Smith,18.8,26,4600,ORL@CLE,CLE,ORL,,
18.59640503,PG,Matthew,Dellavedova,19.8,29,4500,ORL@CLE,CLE,ORL,,
20.33930779,PF,Jerami,Grant,20.4,34,4500,PHI@LAC,PHI,LAC,,
23.31916428,PF,Tristan,Thompson,21.1,30,4500,ORL@CLE,CLE,ORL,,
20.62265968,SG,Manu,Ginobili,19.3,28,4500,HOU@SA,SA,HOU,,
17.11471748,PG,Isaiah,Canaan,17.5,34,4400,PHI@LAC,PHI,LAC,,
18.53470802,SG,Gary,Harris,18,27,4400,DEN@GS,DEN,GS,,
17.81852722,PG,Jose Juan,Barea,18.3,26,4400,NO@DAL,DAL,NO,,
18.83252144,PF,Jabari,Parker,18.5,28,4400,MIL@MIN,MIL,MIN,,
17.15783882,SG,Iman,Shumpert,14.4,8,4400,ORL@CLE,CLE,ORL,,
13.56470966,PG,Mario,Chalmers,17.7,31,4400,MEM@UTA,MEM,UTA,,
24.12388611,C,Andrew,Bogut,20.7,25,4400,DEN@GS,GS,DEN,,
17.08366966,PG,Mo,Williams,19.2,24,4300,ORL@CLE,CLE,ORL,,
15.17250538,PF,Trevor,Booker,16.3,30,4300,MEM@UTA,UTA,MEM,,
15.99031448,C,Jeff,Withey,12,23,4200,MEM@UTA,UTA,MEM,,
20.38021469,SG,Jeremy,Lamb,19.6,30,4200,OKC@CHA,CHA,OKC,,
16.42558289,PG,Patrick,Beverley,16.9,27,4200,HOU@SA,HOU,SA,,
16.30734634,C,Joffrey,Lauvergne,19,18,4200,DEN@GS,DEN,GS,,
18.4570694,PF,Frank,Kaminsky,14.2,30,4100,OKC@CHA,CHA,OKC,,
16.74625015,SG,Dion,Waiters,16.9,33,4000,OKC@CHA,OKC,CHA,,
15.55771828,PF,J.J.,Hickson,16.8,17,4000,DEN@GS,DEN,GS,,
19.66454315,PG,Norris,Cole,14.7,15,4000,NO@DAL,NO,DAL,,
4.43443203,PF,Ryan,Hollins,4.3,6,4000,MEM@UTA,MEM,UTA,,
16.03907776,SG,Courtney,Lee,17,34,4000,MEM@UTA,MEM,UTA,,
15.99970055,C,Jusuf,Nurkic,0,25,4000,DEN@GS,DEN,GS,GTD,Knee
11.58294868,SF,Paul,Pierce,9.9,32,3900,PHI@LAC,LAC,PHI,,
13.72005558,SF,Quincy,Pondexter,0,25,3900,NO@DAL,NO,DAL,O,Knee
13.1615839,C,Cole,Aldrich,10.2,12,3900,PHI@LAC,LAC,PHI,,
14.08863735,PF,Lavoy,Allen,14.8,31,3900,DET@IND,IND,DET,,
13.40384197,C,Boban,Marjanovic,9.7,18,3900,HOU@SA,SA,HOU,,
16.2494278,C,Steven,Adams,16.7,33,3900,OKC@CHA,OKC,CHA,,
16.81860733,PG,Shaun,Livingston,13.6,30,3900,DEN@GS,GS,DEN,,
17.26607323,SG,Kevin,Martin,16.9,26,3900,MIL@MIN,MIN,MIL,,
11.60299206,SF,Stanley,Johnson,14.8,33,3800,DET@IND,DET,IND,,
14.05897522,PG,Ty,Lawson,15.4,31,3800,HOU@SA,HOU,SA,,
15.4903698,SG,Jamal,Crawford,17,34,3800,PHI@LAC,LAC,PHI,,
27.11897659,PG,Patrick,Mills,15.7,34,3800,HOU@SA,SA,HOU,,
6.177050114,PF,Donatas,Motiejunas,9,14,3800,HOU@SA,HOU,SA,,
14.36001873,PF,David,West,14.1,34,3800,HOU@SA,SA,HOU,,
15.77706146,PF,John,Henson,15.9,29,3800,MIL@MIN,MIL,MIN,,
14.19650364,PF,Channing,Frye,12.9,27,3800,ORL@CLE,ORL,CLE,,
7.631526947,C,Spencer,Hawes,13.1,27,3800,OKC@CHA,CHA,OKC,GTD,Back
12.36728096,SG,Randy,Foye,12.4,33,3700,DEN@GS,DEN,GS,,
16.71669769,PF,Dwight,Powell,17.4,31,3700,NO@DAL,DAL,NO,,
10.32972622,PF,Anthony,Tolliver,11.6,32,3700,DET@IND,DET,IND,,
6.827602863,C,Brandan,Wright,14.1,7,3700,MEM@UTA,MEM,UTA,O,Knee
14.93578815,PF,Boris,Diaw,13.9,34,3700,HOU@SA,SA,HOU,,
