PLAYER_NAME,sum1,sum2,historicalSal
DeMarcus Cousins,-4.941848474,-5.042880931,10700
James Harden,-0.18521849,-0.891215355,10900
Pau Gasol,-0.300331624,-0.386762068,8900
Paul Millsap,-1.510620372,-1.871540324,8000
Jimmy Butler,-0.934836578,-1.654594963,8700
Rajon Rondo,-0.235459539,-0.512166636,9000
Isaiah Thomas,-1.595507572,-1.847252494,7800
Dwight Howard,0.44737978,0.687962365,8000
Derrick Favors,1.132204923,0.847141439,7600
Gordon Hayward,-2.61312547,-2.583894449,7400
Al Horford,-0.391009401,-0.536371452,7400
Rudy Gay,-2.181955933,-2.356486201,7000
Rudy Gobert,-1.410089332,-1.7402564,6700
Kobe Bryant,4.189999345,3.658377412,5700
Derrick Rose,0.37515831,0.367022832,7000
Nerlens Noel,-2.472498081,-2.049312732,6100
Jae Crowder,-1.700462642,-1.683267393,6200
Jeff Teague,1.007980889,1.145544393,6000
Jahlil Okafor,-1.568083721,-1.785495822,6300
Jordan Clarkson,-0.312608096,0.00566615,6000
Ish Smith,-4.078493299,-4.948505783,6600
Kent Bazemore,-0.632456488,-1.007334619,4800
Evan Turner,1.718848982,1.565160049,5700
Omri Casspi,0.326563308,0.25871241,4500
Jared Sullinger,0.066049515,0.243480421,6200
Darren Collison,2.651320769,2.504448299,5200
Rodney Hood,-2.424066226,-2.480861664,5600
Julius Randle,0.143875845,0.073175651,6100
Louis Williams,0,0,4900
Taj Gibson,0.111551104,0.473022079,5000
Joakim Noah,1.105690824,1.521295049,
Trevor Ariza,-0.876481127,-0.323852559,6500
Avery Bradley,-0.095658069,-0.033503087,5400
Tony Wroten,0,0,
D'Angelo Russell,-1.057587783,-1.675015291,5900
Trey Burke,0.938013298,0.4842919,3500
Marcus Smart,-1.58733129,-1.85374784,5300
Nikola Mirotic,1.84885547,1.557089254,
Clint Capela,-1.023604443,-1.213518494,4000
Jeff Withey,0.807741456,0.13521856,3500
Dennis Schroder,-1.954253608,-2.412446233,5100
Amir Johnson,-0.022221544,-0.135311529,4000
Robert Covington,-0.425861479,-1.02450418,5100
Terrence Jones,-0.002462006,-0.373499188,3500
Kelly Olynyk,-2.373411359,-2.566157421,4400
Roy Hibbert,0.965252234,0.952093486,3500
Trevor Booker,-0.033989599,-0.049995698,3600
Larry Nance Jr.,-1.436613973,-1.027632046,3500
Patrick Beverley,-1.760098517,-1.554844141,4900
Marco Belinelli,0.264911943,0.133821879,3600
Mike Dunleavy,0,0,3800
Jerami Grant,-0.505099173,-0.706510701,5000
David Lee,-0.198075533,-0.37233599,4500
Aaron Brooks,1.058292802,1.044254928,3600
TJ McConnell,-1.123413718,-1.671178948,3600
Isaiah Canaan,0.241352336,0.168440332,3700
Kyle Korver,-0.48317331,-0.431607537,3900
Thabo Sefolosha,-0.750944399,-0.880684662,3500
Bobby Portis,2.222346025,1.785068407,4600
Donatas Motiejunas,0,0,3500
Carl Landry,2.26883573,1.564748977,3500
Ty Lawson,0.650539625,0.962260592,3500
Kosta Koufos,1.927390209,1.799800682,3500
Nik Stauskas,-1.975016844,-1.831856382,3500
Brandon Bass,-2.114306903,-2.288673616,3900
Marcelo Huertas,1.794172198,1.66295243,3800
Jason Terry,0.014036655,-0.044950379,3500
Willie Cauley-Stein,-2.213862652,-2.489291848,3500
Richaun Holmes,-0.10318314,-0.157441347,3500
Tony Snell,0.98831509,1.24101419,3500
Marcus Thornton,0.742305203,0.718154054,3500
Quincy Acy,-0.661307005,-1.260871747,3700
Robert Sacre,1.531328817,1.371389571,3500
Joe Ingles,-0.431954645,-0.851599653,3500
Tarik Black,0.487099193,0.022073144,3600
KJ McDaniels,0.084808057,0.020531975,3500
Kirk Hinrich,0.360258946,0.442261182,3500
E'Twaun Moore,-0.006693268,-0.076772267,4100
Tibor Pleiss,2.405387937,1.557685214,3500
Caron Butler,0,0,3500
Nick Young,1.576529664,0.978174848,3600
Eric Moreland,0,0,3500
Jordan Mickey,0,0,3500
James Anderson,0.275900316,0.479271528,3500
Mike Muscala,0.946291733,1.014632154,3500
Shelvin Mack,0.502010397,0.46111503,3500
Tim Hardaway Jr.,0.711626003,0.131853053,3500
Lamar Patterson,0.221319822,0.042093625,3500
Justin Holiday,1.088491821,0.970682875,3600
Ryan Kelly,-0.043957738,0.205026599,3500
Charles Hayes,0,0,
Elijah Millsap,0,0,
Seth Curry,1.867120848,1.584760175,3600
Cristiano Felicio,1.122019463,1.479073505,3500
Mike Scott,-0.632590243,-0.825806116,3500
Metta World Peace,0.737923728,0.898385048,3500
James Young,0.378223572,0.460503442,3500
Montrezl Harrell,0.226249278,-0.160003722,3500
Corey Brewer,0.294604342,0.196493289,3600
Terry Rozier,0.01421508,0.084451048,3500
Hollis Thompson,1.193257663,1.197617912,3500
Phil (Flip) Pressey,0,0,3500
Doug McDermott,0.524858565,0.415931641,3800
Anthony Brown,2.429610574,2.112531632,3500
JaKarr Sampson,1.160667758,0.785076374,3500
Cameron Bairstow,0.288795658,0.216485167,3500
Duje Dukan,0,0,3500
Ben McLemore,-0.350900349,-0.56248946,3500
Tyler Zeller,-0.443162835,-0.763835227,3600
Walter Tavares,0.525640194,0.457833804,3500
Kendall Marshall,0.584043914,0.572166854,3500
Jonas Jerebko,-0.999018881,-1.322658406,3600
RJ Hunter,0.353494883,0.35380586,3500
Elton Brand,0,0,3500
Christian Wood,0,0,3500
Trey Lyles,-1.119914306,-1.286850528,3700
Sam Dekker,0,0,3500
Tiago Splitter,0.577174839,0.447909506,
Raul Neto,0.297134389,0.375175617,3500
Chris Johnson,-1.458477914,-2.230503725,3500
Russell Westbrook,-1.18195592,-2.79290117,
Stephen Curry,-3.108624187,-3.411499304,10900
Anthony Davis,3.842826885,3.34803755,9800
Kevin Durant,-0.784176073,-0.977737627,
LeBron James,-0.959147162,-0.84309343,10100
John Wall,-0.897218082,-1.483466179,10000
Draymond Green,0.090664633,-0.370718384,8600
Kyle Lowry,-0.090618294,-0.256134194,9100
Damian Lillard,-0.197852165,-0.589985577,9100
Carmelo Anthony,-1.38441584,-1.420602955,8900
Paul George,0.872424798,-0.117463443,9000
Brook Lopez,3.836656791,3.370969591,8500
Kawhi Leonard,2.570621932,2.097854855,8400
CJ McCollum,0.425785366,-0.136440478,6900
Chris Bosh,0.828250463,0.434156599,7000
DeMar DeRozan,-1.501135796,-1.773669012,7800
Klay Thompson,0.265104415,0.320453764,7200
Kyrie Irving,0.674546794,1.372119401,7000
Tyreke Evans,2.028884146,1.065440707,
Karl-Anthony Towns,-2.384309447,-3.100763502,8900
Ricky Rubio,2.375894185,1.833008154,6700
Marc Gasol,-1.817937088,-2.036725938,
Nikola Vucevic,-1.99919287,-2.589102574,8000
Greg Monroe,-1.292586196,-1.399482044,7400
Hassan Whiteside,-1.56950592,-1.642913665,8600
Dwyane Wade,-1.41828629,-1.312035415,7500
Kevin Love,0.060917604,-0.39242373,6800
Bradley Beal,1.276344436,0.938260896,5400
Michael Carter-Williams,-0.255115328,-0.148540416,5700
Danilo Gallinari,-0.461888484,-0.897458047,6700
LaMarcus Aldridge,1.238204998,1.081929991,7400
Thaddeus Young,3.303092113,2.823169869,7000
Khris Middleton,-3.492094823,-3.853665181,7900
Dirk Nowitzki,1.579123285,1.380340576,6600
Will Barton,1.202114708,0.373653713,5800
Marcin Gortat,-0.692988003,-1.084809359,7000
Giannis Antetokounmpo,-1.601270314,-1.353329649,8400
Brandon Knight,0.6210716,0.453210297,6500
Zaza Pachulia,0.494422531,0.288969294,5200
Mike Conley,-1.042287718,-1.336638205,7000
Zach Randolph,0.392919038,-0.154033159,6700
Kenneth Faried,-0.538036895,-0.572804284,6400
Andrew Wiggins,-1.570893659,-1.444259061,6400
Deron Williams,0.898962503,0.801749461,5600
Kristaps Porzingis,-2.843780136,-3.330455097,6300
Serge Ibaka,1.823799214,1.620932107,
Monta Ellis,-1.482689888,-1.238620839,6500
Tim Duncan,1.658850142,1.841432325,5200
Otto Porter,-2.05141009,-2.43850675,4800
Victor Oladipo,-0.121486007,-0.045753352,6600
Jonas Valanciunas,-1.177980764,-1.204158522,6200
Tony Parker,-0.251183998,-0.299026871,5000
Elfrid Payton,-0.682875487,-0.729632232,5300
Tobias Harris,-0.939465533,-0.705394805,5800
Jrue Holiday,-3.232086101,-3.466885135,7400
Goran Dragic,-0.385906824,-0.403446324,6500
George Hill,0.882061863,1.052374625,5500
Ryan Anderson,-0.767989409,-0.877991928,5800
DeMarre Carroll,0,0,5400
Chandler Parsons,-2.366375672,-2.584843786,6900
Wesley Matthews,0.041961469,-0.082326186,4400
Mason Plumlee,-1.030831768,-0.965445047,4800
Jameer Nelson,-0.178780424,-0.294269063,4700
Ian Mahinmi,-0.578235364,-1.126253223,5000
Evan Fournier,0.56110607,0.331923073,5400
Raymond Felton,2.908924887,2.770273834,4500
Al-Farouq Aminu,0.897707407,0.986052584,4100
Harrison Barnes,1.181158628,1.324002677,4500
Emmanuel Mudiay,-2.499114672,-2.770758099,6000
Gorgui Dieng,0.051836295,0.103651729,6300
Joe Johnson,0.174184879,0.341479733,5600
J.R. Smith,-1.346453295,-1.275757318,4600
Mario Chalmers,-0.992140438,-0.754257021,4700
Matt Barnes,-1.267614322,-1.841564984,5200
Eric Gordon,2.008421612,1.861928296,5300
Enes Kanter,0.280771878,-0.014515505,
Jeff Green,-0.952091859,-1.132677219,5100
Arron Afflalo,-0.524343732,-0.019454996,4800
Jordan Hill,2.031148449,2.110432314,4100
Festus Ezeli,1.062042688,0.769935206,
Jabari Parker,-1.409900685,-1.142511288,6000
Allen Crabbe,-0.624593153,-0.476167097,3700
Tristan Thompson,-0.514455454,-0.35672746,4700
Nikola Pekovic,1.278243312,1.333415334,3500
Manu Ginobili,-0.744753988,-0.593561373,4500
Jon Leuer,0.292567685,0.168431079,3600
TJ Warren,1.319770171,0.585243386,
Bismack Biyombo,0.55047755,0.70528434,3900
Andre Iguodala,1.265291154,1.204173981,3900
PJ Tucker,-1.88337324,-1.968775478,4700
Shane Larkin,0.8757707,0.454774284,3500
Robin Lopez,-1.791513232,-1.387015132,5700
Rodney Stuckey,1.610429588,1.2824136,3800
Bojan Bogdanovic,2.708805737,2.983615423,4000
Markieff Morris,0.707809404,0.709440691,5200
Luis Scola,0.517511107,0.401242547,3600
Garrett Temple,-0.875224916,-0.8393117,3600
Nikola Jokic,-2.741318402,-3.277105884,5600
Matthew Dellavedova,0.222353945,0.398282362,3600
Jerryd Bayless,1.061562131,1.233593343,4100
Jose Juan Barea,0.204586672,-0.179696595,3700
Luol Deng,-0.152454376,-0.026101536,6000
David West,-1.832239066,-1.980776808,4000
Ramon Sessions,-0.663004865,-0.805612654,3500
Jusuf Nurkic,2.032350616,1.933088125,3700
Mo Williams,3.004469417,2.624694369,3500
Norris Cole,-0.899049066,-0.942875169,4900
O.J. Mayo,-0.239577706,-0.178786214,3500
Andrew Bogut,0.524428619,0.328209526,4800
Mirza Teletovic,-0.342993175,-0.622128826,4700
Steven Adams,-1.609590244,-1.707829666,
Jose Calderon,0.312131761,0.278201033,3900
CJ Miles,1.0077762,0.605954562,3500
Gary Harris,-1.321362827,-1.199509901,4800
Boris Diaw,-0.282124841,-0.409818167,3500
Iman Shumpert,-0.051637519,0.171344586,3500
Zach LaVine,-0.777532046,-1.01243237,5300
Courtney Lee,0.012516403,0.177313232,3500
Alex Len,-3.307631998,-3.342364423,5300
Tyler Johnson,0.317977047,0.026660644,
Dion Waiters,0.620376456,0.709553187,
Tony Allen,-2.873418404,-3.229354959,4100
JJ Hickson,0.855865478,0.932620684,3500
Ed Davis,-1.267488138,-1.592332147,4000
Nene 111,0,0,
Derrick Williams,-1.165804592,-1.736850568,3500
Rondae Hollis-Jefferson,0,0,4000
Jared Dudley,-0.379233672,-0.315259743,4400
JaVale McGee,-0.843491815,-0.921410169,3500
Meyers Leonard,-0.305781294,-0.344055457,3800
Dwight Powell,3.794033081,3.309379357,3500
Tyson Chandler,-2.844546991,-3.041275948,4400
Quincy Pondexter,0,0,
John Henson,-1.023018315,-1.432780246,3800
Devin Booker,-2.523046996,-2.53253214,4700
Joffrey Lauvergne,0.792848184,0.476111168,3600
Gerald Green,1.910560176,1.886448178,3500
Ian Clark,1.159016162,1.265118027,3500
Devin Harris,-0.588866986,-0.582106124,3500
Kevin Martin,1.973196153,1.706443461,3500
Marreese Speights,-0.611008763,-0.734359145,3500
Gary Neal,-0.846351955,-1.11553938,3500
Danny Green,-0.359465449,-0.552350898,4300
Terrence Ross,-0.589983729,-0.655535186,4100
Wayne Ellington,-0.167203843,-0.289304522,3700
Brandan Wright,0,0,3700
Aaron Gordon,-1.660672017,-1.747252896,6000
Boban Marjanovic,-0.692362707,-0.846164989,3500
Cory Joseph,0.712435993,0.885825528,4000
Lance Thomas,-1.408672512,-1.386719827,3500
Brandon Rush,0.047843562,-0.037567811,3500
Darrell Arthur,-1.107372595,-1.308476157,3500
Shabazz Muhammad,-2.725974364,-2.992461335,4100
Ronnie Price,0,0,3800
Langston Galloway,-0.843698993,-0.924747708,3800
Maurice Harkless,1.757667221,1.635307016,3800
Patrick Mills,0,0,4200
Cameron Payne,-0.805986163,-0.470391786,
Anthony Morrow,1.877772706,1.55032348,
Lavoy Allen,-0.715700752,-0.532921842,3600
CJ Watson,0,0,3500
Ray McCallum,0.787162372,0.103803532,3500
Patrick Patterson,1.001514345,0.979676156,3500
Jonathon Simmons,-0.032576807,-0.256905325,3500
Shaun Livingston,-1.489862482,-1.496077076,3900
Kyle Anderson,-1.072113323,-1.422470087,3600
Andrew Nicholson,1.675522602,1.683875358,3500
Russ Smith,0,0,3500
Johnny O'Bryant,1.796431043,1.573021921,3500
James Jones,1.211278391,0.966892399,3500
Shayne Whittington,0,0,3500
Mario Hezonja,0.159920908,-0.107944724,3900
Anthony Bennett,0.870642769,0.712323475,3500
Josh McRoberts,0,0,3600
Norman Powell,0.335960701,0.281149045,3500
Mike Miller,0.055422765,0.215895113,3500
Dewayne Dedmon,1.552076614,1.720114833,3500
Randy Foye,0.402041977,0.079584011,
Toney Douglas,-2.944242873,-3.020008074,3500
Willie Reed,0.419803837,0.068643363,3500
Salah Mejri,1.619609015,1.075312546,3500
John Jenkins,0.248270079,0.354870327,3500
Adreian Payne,0.208231483,0.127426624,3500
Alexis Ajinca,-0.497445608,-0.987363891,3500
Damjan Rudez,0.502303702,0.41236341,3500
Joe Harris,0,0,3500
Jarell Eddie,1.117208427,0.818889013,3500
Erick Green,0,0,3500
Myles Turner,-3.912714647,-4.285355106,5300
Archie Goodwin,-4.300433169,-4.335410254,4600
Steve Novak,0,0,3500
James Ennis,0.989678184,0.625836968,3500
Rashad Vaughn,0.688612007,0.581029952,3500
Jarnell Stokes,1.00346997,0.979775238,3500
DeJuan Blair,0.134589019,-0.099410346,3500
Rakeem Christmas,0,0,3500
James Johnson,0.246409999,0.141108342,3500
Kelly Oubre,1.056569581,0.443512119,3500
Cliff Alexander,0,0,3500
Thomas Robinson,-0.690102999,-1.045010512,3600
Josh Richardson,-0.012183666,-0.506414382,3700
Sonny Weems,-0.145373217,-0.192977937,3500
Kevin Garnett,1.808817011,1.811845375,3500
Kendrick Perkins,0,0,3500
Chase Budinger,0.035714073,-0.020763537,3500
Dante Cunningham,-0.288079241,-0.535826741,3500
Gerald Henderson,-0.191265036,-0.168549266,3800
D.J. Augustin,0,0,4000
Roy Devyn Marble,0,0,3500
Justise Winslow,-1.198086789,-0.875474077,4400
Jeremy Evans,-0.466839556,-0.375846408,3500
Tyus Jones,0,0,3500
Kris Humphries,0,0,3700
Drew Gooden,-0.003444159,-0.22299,3500
Anderson Varejao,-0.436315658,-0.481131892,3500
Markel Brown,-0.609429736,-0.907421992,4100
Andre Roberson,0.105883386,-0.474326982,
Kostas Papanikolaou,0,0,
Charlie Villanueva,0.365539121,0.279807884,3500
Jared Cunningham,1.562317359,0.830381724,3500
Chris Andersen,0,0,3500
Tayshaun Prince,0.554617897,0.477538977,3500
Nemanja Bjelica,0.445619754,0.270605986,3500
Kyle Singler,-0.634173208,-0.838007349,
Sasha Vujacic,1.035254979,0.770068133,3500
Chris Kaman,1.269575412,1.22808075,3500
Alan Anderson,0,0,3600
Rasual Butler,-0.794973005,-1.133380728,3500
Kevin Seraphin,0.059248937,-0.349030704,3500
Miles Plumlee,1.063710873,0.865574987,3700
Kyle O'Quinn,1.796291241,1.187733565,3600
Tim Frazier,0.272967782,0.017489982,3500
Luke Babbitt,1.433514284,1.411797117,3500
Donald Sloan,-2.255652919,-2.63348222,4800
Luis Montero,0,0,3500
Udonis Haslem,-0.113711103,0.040728855,3500
Bryce Cotton,0,0,3500
Shabazz Napier,0.440775194,0.090858911,3500
Solomon Hill,0.447000097,-0.199998341,3500
Alonzo Gee,-2.127602437,-2.427922861,3500
Joseph Young,0,0,3500
Mitch McGary,0.561867846,-0.036964046,
Noah Vonleh,-1.704686104,-1.857950903,3500
Glenn Robinson III,0,0,3500
JaMychal Green,1.62601134,1.432580015,3700
Ryan Hollins,-0.12465083,-0.26449081,3500
Nick Collison,0.371110576,0.480657864,
Vince Carter,0.597708215,0.183727681,3500
Chris Copeland,0.270412761,0.178000711,3500
Justin Anderson,1.485981185,0.887505713,3500
Jarell Martin,0,0,3500
Delon Wright,0.810179458,0.532699178,3700
Bruno Caboclo,0,0,3500
Martell Webster,0,0,
Amar'e Stoudemire,-0.320299148,-0.280027063,3800
Andre Miller,0.900466544,0.891224214,3500
Damien Inglis,0.43732338,0.441375932,3500
James Michael McAdoo,0,0,3500
Beno Udrih,-2.330195926,-2.837939615,3500
Cory Jefferson,-0.39853947,-0.481124805,3500
Jason Smith,0.159563607,0.25676405,3500
Jordan Adams,0,0,3500
Louis Amundson,0,0,3500
Channing Frye,0.863972453,0.780239246,3500
Leandro Barbosa,0.000615752,-0.264940584,3500
Pat Connaughton,0.404973908,-0.038474727,3500
Timofey Mozgov,-0.391112227,-0.519880395,3500
Jerian Grant,-1.097526831,-1.402953931,3500
Cleanthony Early,0,0,3500
Sergey Karasev,0.044138119,-0.269372114,3500
Tyler Ennis,1.376429399,1.467364184,3500
Lucas Nogueira,0.00539705,0.058143123,3500
Omer Asik,-0.157840006,-0.586223582,3500
Andrea Bargnani,-1.383181074,-1.573979621,3500
Sasha Kaun,0.324616718,0.21072904,3500
Jason Thompson,-0.03798129,-0.093782755,3500
Matt Bonner,-0.141651733,0.411462094,3500
Richard Jefferson,1.539624655,1.506901795,3500
Andre Drummond,2.5410767,2.322857244,8700
Reggie Jackson,0.994894128,0.499544445,6800
Kentavious Caldwell-Pope,-0.908631315,-0.393809309,5000
Brandon Jennings,0.69601337,0.605766668,3500
Ersan Ilyasova,-3.41195763,-3.485712995,4500
Marcus Morris,0.151279873,0.37997659,5500
Stanley Johnson,-0.246615741,-0.510966632,4500
Aron Baynes,-2.28856678,-2.574173717,3500
Jodie Meeks,0,0,3600
Spencer Dinwiddie,0,0,3500
Joel Anthony,0.641420126,0.747361581,3500
Darrun Hilliard,-0.200944956,-0.440714818,3500
Steve Blake,-0.136048178,-0.201145077,3500
Reggie Bullock,0,0,3500
Anthony Tolliver,-0.545487334,-0.768090881,3500
