,PLAYER_NAME,Position
0,Aaron Brooks,PG
1,Aaron Gordon,PF
2,Aaron Harrison,PG
3,Adreian Payne,PF
4,Al Horford,C
5,Al Jefferson,C
6,Al-Farouq Aminu,SF
7,Alan Anderson,SG
8,Alec Burks,SG
9,Alex Len,C
10,Alexis Ajinca,C
11,Allen Crabbe,SG
12,Alonzo Gee,SF
13,Amar'e Stoudemire,PF
14,Amir Johnson,C
15,Anderson Varejao,C
16,Andre Drummond,C
17,Andre Iguodala,SF
18,Andre Miller,PG
19,Andre Roberson,SG
20,Andrea Bargnani,C
21,Andrew Bogut,C
22,Andrew Nicholson,PF
23,Andrew Wiggins,SF
24,Anthony Bennett,PF
25,Anthony Brown,SF
26,Anthony Davis,PF
27,Anthony Morrow,SG
28,Anthony Tolliver,PF
29,Archie Goodwin,PG
30,Aron Baynes,C
31,Arron Afflalo,SG
32,Austin Rivers,PG
33,Avery Bradley,SG
34,Ben McLemore,SG
35,Beno Udrih,PG
36,Bismack Biyombo,C
37,Blake Griffin,PF
38,Boban Marjanovic,C
39,Bobby Portis,PF
40,Bojan Bogdanovic,SF
41,Boris Diaw,PF
42,Brad Beal,SG
43,Brandan Wright,C
44,Branden Dawson,PF
45,Brandon Bass,PF
46,Brandon Knight,PG
47,Brandon Rush,SG
48,Brian Roberts,PG
49,Brook Lopez,C
50,Bruno Caboclo,SF
51,C.J. McCollum,SG
52,C.J. Miles,SF
53,C.J. Watson,PG
54,C.J. Wilcox,SG
55,Cameron Bairstow,PF
56,Cameron Payne,PG
57,Carmelo Anthony,SF
58,Caron Butler,SF
59,Chandler Parsons,SF
60,Channing Frye,PF
61,Charlie Villanueva,PF
62,Chase Budinger,SF
63,Chris Andersen,C
64,Chris Bosh,PF
65,Chris Copeland,SF
66,Chris Johnson,SG
67,Chris Kaman,C
68,Chris Paul,PG
69,Christian Wood,PF
70,Chuck Hayes,C
71,Cleanthony Early,SF
72,Cliff Alexander,PF
73,Clint Capela,C
74,Cody Zeller,PF
75,Cole Aldrich,C
76,Corey Brewer,SF
77,Cory Jefferson,PF
78,Cory Joseph,PG
79,Courtney Lee,SG
80,Cristiano Felicio,C
81,D'Angelo Russell,PG
82,D.J. Augustin,PG
83,Damian Lillard,PG
84,Damien Inglis,SF
85,Damjan Rudez,SF
86,Danilo Gallinari,SF
87,Danny Green,SG
88,Dante Cunningham,PF
89,Darrell Arthur,PF
90,Darren Collison,PG
91,Darrun Hilliard,SG
92,David Lee,PF
93,David West,PF
94,DeAndre Jordan,C
95,DeJuan Blair,C
96,DeMar DeRozan,SG
97,DeMarcus Cousins,C
98,DeMarre Carroll,SF
99,Delon Wright,PG
100,Dennis Schroder,PG
101,Deron Williams,PG
102,Derrick Favors,PF
103,Derrick Rose,PG
104,Derrick Williams,PF
105,Devin Booker,SG
106,Devin Harris,SG
107,Dewayne Dedmon,C
108,Dion Waiters,SG
109,Dirk Nowitzki,PF
110,Donald Sloan,PG
111,Donatas Motiejunas,PF
112,Doug McDermott,SF
113,Draymond Green,PF
114,Drew Gooden,PF
115,Duje Dukan,PF
116,Dwight Howard,C
117,Dwight Powell,PF
118,Dwyane Wade,SG
119,E'Twaun Moore,PG
120,Ed Davis,PF
121,Elfrid Payton,PG
122,Elijah Millsap,SF
123,Emmanuel Mudiay,PG
124,Enes Kanter,C
125,Eric Bledsoe,SG
126,Eric Gordon,SG
127,Eric Moreland,PF
128,Erick Green,SG
129,Ersan Ilyasova,PF
130,Evan Fournier,SG
131,Evan Turner,SF
132,Festus Ezeli,C
133,Frank Kaminsky,PF
134,Garrett Temple,PG
135,Gary Harris,SG
136,Gary Neal,SG
137,George Hill,PG
138,Gerald Green,SG
139,Gerald Henderson,SG
140,Giannis Antetokounmpo,SG
141,Glenn Robinson III,SF
142,Goran Dragic,PG
143,Gordon Hayward,SF
144,Gorgui Dieng,C
145,Greg Monroe,C
146,Greivis Vasquez,PG
147,Harrison Barnes,SF
148,Hassan Whiteside,C
149,Hollis Thompson,SF
150,Ian Clark,SG
151,Ian Mahinmi,C
152,Isaiah Canaan,PG
153,Isaiah Thomas,PG
154,Ishmael Smith,PG
155,J.J. Hickson,PF
156,J.J. Redick,SG
157,J.R. Smith,SG
158,JaMychal Green,PF
159,JaVale McGee,C
160,Jabari Parker,PF
161,Jae Crowder,SF
162,Jahlil Okafor,C
163,Jakarr Sampson,SF
164,Jamal Crawford,SG
165,Jameer Nelson,PG
166,James Anderson,SG
167,James Ennis,SF
168,James Harden,SG
169,James Johnson,SF
170,James Jones,SF
171,James Michael McAdoo,PF
172,James Young,SF
173,Jared Cunningham,SG
174,Jared Dudley,SF
175,Jared Sullinger,PF
176,Jarell Martin,PF
177,Jarnell Stokes,PF
178,Jarrett Jack,PG
179,Jason Smith,PF
180,Jason Terry,PG
181,Jason Thompson,PF
182,Jeff Green,SF
183,Jeff Teague,PG
184,Jeff Withey,C
185,Jerami Grant,PF
186,Jeremy Evans,PF
187,Jeremy Lamb,SG
188,Jeremy Lin,PG
189,Jerian Grant,PG
190,Jerryd Bayless,PG
191,Jimmer Fredette,SG
192,Jimmy Butler,SG
193,Joakim Noah,C
194,Jodie Meeks,SG
195,Joe Harris,SG
196,Joe Ingles,SF
197,Joe Johnson,SG
198,Joel Anthony,C
199,Joffrey Lauvergne,PF
200,John Henson,PF
201,John Jenkins,SG
202,John Wall,PG
203,Johnny O'Bryant,C
204,Jon Leuer,PF
205,Jonas Jerebko,PF
206,Jonas Valanciunas,C
207,Jonathon Simmons,SG
208,Jordan Adams,SG
209,Jordan Clarkson,PG
210,Jordan Hill,C
211,Jordan Mickey,PF
212,Jose Calderon,PG
213,Jose Juan Barea,PG
214,Joseph Young,SG
215,Josh Huestis,SF
216,Josh McRoberts,PF
217,Josh Richardson,SG
218,Josh Smith,PF
219,Jrue Holiday,PG
220,Julius Randle,PF
221,Justin Anderson,SF
222,Justin Holiday,SG
223,Justise Winslow,SF
224,Jusuf Nurkic,C
225,K.J. McDaniels,SF
226,Karl-Anthony Towns,C
227,Kawhi Leonard,SF
228,Kelly Olynyk,C
229,Kelly Oubre,SF
230,Kemba Walker,PG
231,Kendall Marshall,PG
232,Kendrick Perkins,C
233,Kenneth Faried,PF
234,Kent Bazemore,SG
235,Kentavious Caldwell-Pope,SG
236,Kevin Durant,SF
237,Kevin Garnett,PF
238,Kevin Love,PF
239,Kevin Martin,SG
240,Kevin Seraphin,PF
241,Khris Middleton,SF
242,Kirk Hinrich,SG
243,Klay Thompson,SG
244,Kobe Bryant,SG
245,Kosta Koufos,C
246,Kostas Papanikolaou,SF
247,Kris Humphries,PF
248,Kristaps Porzingis,PF
249,Kyle Anderson,SF
250,Kyle Korver,SG
251,Kyle Lowry,PG
252,Kyle O'Quinn,C
253,Kyle Singler,SF
254,LaMarcus Aldridge,PF
255,Lamar Patterson,SG
256,Lance Stephenson,SG
257,Lance Thomas,SF
258,Langston Galloway,SG
259,Larry Nance Jr.,PF
260,Lavoy Allen,PF
261,LeBron James,SF
262,Leandro Barbosa,SG
263,Louis Amundson,PF
264,Louis Williams,SG
265,Luc Richard Mbah a Moute,SF
266,Lucas Nogueira,C
267,Luis Montero,SF
268,Luis Scola,PF
269,Luke Babbitt,SF
270,Luol Deng,SF
271,Manu Ginobili,SG
272,Marc Gasol,C
273,Marcelo Huertas,PG
274,Marcin Gortat,C
275,Marco Belinelli,SG
276,Marcus Morris,SF
277,Marcus Smart,PG
278,Marcus Thornton,SG
279,Mario Chalmers,PG
280,Mario Hezonja,SF
281,Markel Brown,SG
282,Markieff Morris,PF
283,Marreese Speights,PF
284,Martell Webster,SF
285,Marvin Williams,PF
286,Mason Plumlee,C
287,Matt Barnes,SF
288,Matt Bonner,C
289,Matthew Dellavedova,PG
290,Maurice Harkless,SF
291,Metta World Peace,SF
292,Meyers Leonard,C
293,Michael Carter-Williams,PG
294,Mike Conley,PG
295,Mike Dunleavy,SF
296,Mike Miller,SF
297,Mike Muscala,PF
298,Mike Scott,SF
299,Miles Plumlee,C
